ticker,sector,signal_date,entry_date,exit_date,entry,stop,target,exit,status,ret_pct,score,hold_days
ASHOKLEY,Auto,2023-06-19,2023-06-20,2023-06-22,76.57491344501652,74.2852379488042,81.15426443744117,74.2852379488042,STOP_HIT,-3.290111765332115,70,3
HDFCLIFE,Insurance,2023-06-20,2023-06-21,2023-06-26,638.7653243365455,616.3553737416563,683.585225526324,613.9575916385955,STOP_HIT,-4.183700594379724,70,4
BANKBARODA,Bank,2023-06-22,2023-06-23,2023-07-03,170.99280814072677,165.83301454800494,181.31239532617042,181.31239532617042,TARGET_HIT,5.735100129445592,90,6
MARUTI,Auto,2023-06-26,2023-06-27,2023-07-05,9122.216931060737,8921.311520398107,9524.027752385997,9524.027752385997,TARGET_HIT,4.104749682690756,70,6
BAJFINANCE,NBFC,2023-06-30,2023-07-03,2023-07-04,703.7874797566218,687.1024298815562,737.1575795067529,751.88870402524,TARGET_HIT,6.534623469751433,85,2
DIVISLAB,Pharma,2023-07-03,2023-07-04,2023-08-02,3518.781944556196,3407.7682971234603,3740.8092394216674,3607.337890625,EXPIRED,2.216664785262024,75,22
BHARTIARTL,Telecom,2023-07-04,2023-07-05,2023-08-03,841.5282261795986,819.8057342082129,884.9732101223701,845.115478515625,EXPIRED,0.12627831419415064,90,22
MARICO,FMCG,2023-07-05,2023-07-06,2023-07-07,514.5559613834959,499.28275747368923,545.1023692031091,499.28275747368923,STOP_HIT,-3.2682299022911527,85,2
HDFCLIFE,Insurance,2023-07-07,2023-07-10,2023-08-03,653.6204547646605,625.2724034765488,710.316557340884,625.2724034765488,STOP_HIT,-4.637081418040778,75,19
ICICIBANK,Bank,2023-08-02,2023-08-03,2023-08-14,944.9903812949868,923.6165302685827,987.738083347795,923.6165302685827,STOP_HIT,-2.5618061992455528,75,8
DIVISLAB,Pharma,2023-08-03,2023-08-04,2023-09-01,3642.232418164279,3520.7303027182293,3885.236649056378,3520.7303027182293,STOP_HIT,-3.635924276553659,85,20
DIXON,CapGoods,2023-08-03,2023-08-04,2023-08-08,4490.602985140782,4280.8479794277,4910.112996566946,4910.112996566946,TARGET_HIT,9.041952802648222,85,3
TECHM,IT,2023-08-08,2023-08-09,2023-09-08,1100.645167259542,1059.1536773676016,1183.6281470434224,1151.712646484375,EXPIRED,4.3397768094493365,100,22
TRENT,Retail,2023-08-14,2023-08-16,2023-08-24,1924.1622328169763,1851.168411540185,2070.1498753705587,2070.1498753705587,TARGET_HIT,7.287075562742762,70,7
SIEMENS,CapGoods,2023-08-24,2023-08-25,2023-09-25,2206.626792801766,2130.000445323856,2359.8794877575856,2130.000445323856,STOP_HIT,-3.772555836259783,85,21
BIOCON,Pharma,2023-09-15,2023-09-18,2023-09-21,276.7141985982825,267.104996885583,295.9326020236816,267.104996885583,STOP_HIT,-3.7726088366175965,100,3
OFSS,IT,2023-09-15,2023-09-18,2023-09-25,3884.6291244065683,3743.095411675226,4167.6965498692525,3743.095411675226,STOP_HIT,-3.9434292231942165,90,5
AXISBANK,Bank,2023-09-21,2023-09-22,2023-10-19,1007.5822489565431,980.5706730596352,1061.6054007503592,977.3548502265622,STOP_HIT,-3.299993177855653,75,19
TATACONSUM,FMCG,2023-09-25,2023-09-26,2023-09-28,887.246520812064,861.5606650351464,938.6182323658992,861.5606650351464,STOP_HIT,-3.1950077768023606,100,3
DIXON,CapGoods,2023-09-25,2023-09-26,2023-09-28,4894.002360485725,4687.781294758649,5306.444491939878,5316.638192522425,TARGET_HIT,8.335791340214104,70,3
NYKAA,Retail,2023-09-29,2023-10-03,2023-10-23,149.5,142.37056356841632,163.75887286316737,142.37056356841632,STOP_HIT,-5.068853800390427,85,15
DIXON,CapGoods,2023-09-29,2023-10-03,2023-10-09,5271.708555247227,5038.045730388103,5739.034204965475,5024.247158464813,STOP_HIT,-4.994140318817553,85,5
BOSCHLTD,Auto,2023-10-10,2023-10-11,2023-10-13,19094.447185875226,18587.978421150645,20107.384715324388,20107.384715324388,TARGET_HIT,5.004880102517262,85,3
HEROMOTOCO,Auto,2023-10-13,2023-10-16,2023-11-16,2801.0797364362543,2711.1101583830914,2981.01889254258,2959.948974609375,EXPIRED,5.371714235998371,85,22
SRF,Chemicals,2023-10-19,2023-10-20,2023-10-23,2230.2401904428016,2168.27969621909,2354.1611788902246,2168.27969621909,STOP_HIT,-3.078198262645859,60,2
LT,CapGoods,2023-11-30,2023-12-01,2023-12-04,3047.0800190073683,2981.626221008852,3177.9876150044,3198.024946175302,TARGET_HIT,4.653756587498681,100,2
SBILIFE,Insurance,2023-11-30,2023-12-01,2023-12-21,1430.7558160628575,1388.3385459171038,1515.590356354365,1388.3385459171038,STOP_HIT,-3.26467570982708,100,15
BANKBARODA,Bank,2023-12-01,2023-12-04,2023-12-13,186.88514251072507,180.8537927585932,198.94784201498885,198.94784201498885,TARGET_HIT,6.154605937211677,75,8
ADANIPORTS,Infra,2023-12-04,2023-12-05,2023-12-05,872.2855006708385,840.635236362514,935.5860292874873,935.5860292874873,TARGET_HIT,6.956858971972724,70,1
AMBUJACEM,Cement,2023-12-05,2023-12-06,2023-12-08,509.0574745684315,490.32367305930825,546.5250775866779,490.32367305930825,STOP_HIT,-3.980095557973162,70,3
IRCTC,Internet,2023-12-08,2023-12-11,2023-12-18,729.8081727189136,703.4601476458652,782.5042228650105,782.5042228650105,TARGET_HIT,6.9205343973851035,70,6
AXISBANK,Bank,2023-12-13,2023-12-14,2023-12-21,1129.68928946714,1094.5357424664946,1199.9963834684308,1094.5357424664946,STOP_HIT,-3.411788996178488,75,6
NYKAA,Retail,2023-12-18,2023-12-19,2023-12-20,174.60000610351562,165.45218248333452,192.8956533438778,165.45218248333452,STOP_HIT,-5.539303150286034,70,2
GODREJCP,FMCG,2023-12-20,2023-12-21,2023-12-27,997.5718077544514,967.4601539142182,1057.7951154349178,1057.7951154349178,TARGET_HIT,5.73698973971909,100,4
ONGC,Energy,2023-12-21,2023-12-22,2024-01-08,180.35979080458,173.6143749058196,193.8506226021008,193.8506226021008,TARGET_HIT,7.1799553366848405,100,11
