ticker,sector,signal_date,entry_date,exit_date,entry,stop,target,exit,status,ret_pct,score,hold_days
DIVISLAB,Pharma,2026-07-06,2026-07-07,2026-07-08,6869.6714099015635,6674.163585108105,7260.687059488481,6674.163585108105,STOP_HIT,-3.145955987234916,85,2
INDUSINDBK,Bank,2026-07-08,2026-07-09,2026-07-22,995.9000244140625,956.7897720707113,1074.120529100765,1074.120529100765,TARGET_HIT,7.5542527130395,90,10
PAYTM,Internet,2026-07-13,2026-07-14,2026-07-21,1377.5,1313.5862980052732,1505.3274039894536,1313.5862980052732,STOP_HIT,-4.939833175660746,70,6
TVSMOTOR,Auto,2026-07-21,2026-07-22,2026-07-30,3850.699951171875,3707.45681940987,4137.186214695885,4137.186214695885,TARGET_HIT,7.139849044504854,70,7
HCLTECH,IT,2026-07-22,2026-07-23,2026-07-29,1236.0,1182.2046337611084,1343.5907324777831,1344.0,TARGET_HIT,8.437864077669898,85,5
CHOLAFIN,NBFC,2026-07-29,2026-07-30,2026-08-28,1785.4000244140625,1701.6469713554018,1952.906130531384,1862.9000244140625,EXPIRED,4.040763915102675,85,22
ASIANPAINT,Chemicals,2026-07-30,2026-07-31,2026-08-18,2773.89990234375,2684.132725786569,2953.4342554581117,2663.10009765625,STOP_HIT,-4.294369248648155,100,13
MRF,Auto,2026-07-30,2026-07-31,2026-08-11,135000.0,131567.09398598276,141865.81202803447,131567.09398598276,STOP_HIT,-2.842893343716468,85,8
MPHASIS,IT,2026-08-11,2026-08-12,2026-08-19,2536.0,2414.9603744747933,2778.0792510504134,2414.9603744747933,STOP_HIT,-5.072855896104366,85,6
PNB,Bank,2026-08-18,2026-08-19,2026-08-31,116.44999694824219,113.22541875577815,122.89915333317026,113.22541875577815,STOP_HIT,-3.069066790012231,75,9
JSWSTEEL,Metal,2026-08-20,2026-08-21,2026-09-15,1298.0,1259.6968951593378,1374.6062096813241,1259.6968951593378,STOP_HIT,-3.250932576322196,85,18
